Date,Bank,Account,Description,Amount,Type,Category,Receipt,Notes,Income streams,Ungrouped
10/27/25,"Capital One","Spark Cash","Wuzipay Azucar Zaz",-80.63,Business,"Meals",N,
10/27/25,"Capital One","Spark Cash","Claude Ai Subscription",-20,Business,"Apps/software/web services",N,
10/27/25,"Capital One","Spark Cash","El Pescador",-121.74,Business,"Advertising",N,"sales and marketing meeting"
10/27/25,"Capital One","Venture","Spotify",-11.99,Business,"Apps/software/web services",N,
10/27/25,"Capital One","Venture","Americanxxxxxxxxxxxxxxx",-448.37,Business,"Travel expenses",N,
10/27/25,"Capital One","Venture","Amazon Fresh",-5.6,Personal,"Groceries",N,
10/27/25,"Capital One","Venture","Americanxxxxxxxxxxxxxxx",-448.37,Business,"Travel expenses",N,
10/27/25,"Wells Fargo Bank","Initiate Business Checking��","Business To Business",-25,Business,"Credit card payment",N,
10/25/25,"Capital One","Spark Cash","Cash Auto Redemption",25,Business,"Credit card payment",N,
10/25/25,"Capital One","Spark Cash","Wuzipay Azucar Zaz",-68.17,Business,"Meals",N,
10/25/25,"Capital One","Spark Cash","Raul Sandoval",-26.67,Business,"Meals",N,
10/25/25,"Capital One","Spark Cash","Super",-35.73,Business,"Meals",N,
10/25/25,"Capital One","Venture","Vrbo Hacf Wk",-1055.04,Business,"Travel expenses",N,
10/24/25,"Capital One","Spark Cash","Ingram Micro",-155.52,Business,"Memberships/subscriptions",N,
10/24/25,"Capital One","Spark Cash","Super",-203.84,Business,"Meals",N,
10/24/25,"Capital One","Spark Cash","Ingram Micro",-781.36,Business,"Memberships/subscriptions",N,
10/24/25,"Capital One","Spark Cash","Raul Sandoval",-43.24,Business,"Meals",N,
10/24/25,"Capital One","Venture","Apple",-0.99,Business,"Apps/software/web services",N,
10/23/25,"Amazon Visa (Chase)","CREDIT CARD","Amazon",-2.99,Business,"Materials & Supplies",N,
10/22/25,"Capital One","Spark Cash","GitHub",-39,Business,"Apps/software/web services",N,
10/22/25,"Capital One","Spark Cash","Cash Auto Redemption",25,Business,"Credit card payment",N,
10/22/25,"Capital One","Spark Cash","GitHub",-29.6,Business,"Apps/software/web services",N,
10/22/25,"Capital One","Venture","Capital One Autopay",500,Business,"Credit card payment",N,
10/22/25,"Wells Fargo Bank","checking","American Gen Lif",-66.63,Personal,"Life Insurance",N,
10/22/25,"Wells Fargo Bank","checking","Capital One",-500,Business,"Credit card payment",N,
10/21/25,"Wells Fargo Bank","Initiate Business Checking��","Business To Business",-3066.14,Business,"Credit card payment",N,
10/21/25,"Capital One","Spark Cash","Cash Auto Redemption",25,Business,"Credit card payment",N,
10/21/25,"Capital One","Spark Cash","Xai Llc",-30,Business,"Memberships/subscriptions",N,
10/21/25,"Capital One","Spark Cash","Openai Chatgpt Subscr",-20,Business,"Memberships/subscriptions",N,
10/21/25,"Capital One","Spark Cash","Ingram Micro",-1256.08,Business,"Memberships/subscriptions",N,
10/21/25,"Capital One","Spark Cash","Wuzipay Azucar Zaz",-124.14,Business,"Meals",N,
10/21/25,"Capital One","Spark Cash","Claude Ai Subscription",-200,Business,"Memberships/subscriptions",N,
10/21/25,"Capital One","Venture","Capital One Online",3066.14,Business,"Credit card payment",N,
10/20/25,"Wells Fargo Bank","Initiate Business Checking��","Business To Business",-7.64,Business,"Sales tax",N,
10/20/25,"Wells Fargo Bank","checking","ATM Fee",-5,Business,"Transaction/processing fees",N,
10/20/25,"Capital One","Spark Cash","Merpago Radasplace",-87.14,Business,"Advertising",N,
10/20/25,"Capital One","Spark Cash","Restaurant Etc",-68.67,Business,"Advertising",N,
10/20/25,"Capital One","Spark Cash","Maxico",-114.58,Business,"Advertising",N,
10/20/25,"Capital One","Spark Cash","Marrakech",-221.44,Business,"Advertising",N,
10/20/25,"Capital One","Spark Cash","Rest Splash",-85.02,Business,"Travel expenses",N,
10/20/25,"Capital One","Spark Cash","Spectrum",-111.25,Business,"Utilities",N,
10/20/25,"Wells Fargo Bank","checking","Non Wf ATM",-34.09,Business,"Transaction/processing fees",N,
10/20/25,"Wells Fargo Bank","checking","Non Wf ATM",-400,Business,"Transaction/processing fees",N,
10/17/25,"Capital One","Spark Cash","Ingram Micro",-15.27,Business,"Memberships/subscriptions",N,
10/17/25,"Capital One","Spark Cash","Wuzipay Azucar Zaz",-97.09,Business,"Meals",N,
10/17/25,"Wells Fargo Bank","Initiate Business Checking��","Online Transfer Halsey",-2500,Business,"Contract labor",N,
10/16/25,"Capital One","Spark Cash","Taco Bell",-8.59,Personal,"Restaurants",N,
10/16/25,"Capital One","Spark Cash","Merpago Radasplace",-89.09,Business,"Advertising",N,
10/16/25,"Capital One","Spark Cash","Arco",-43.41,Business,"Gas and fuel",N,
10/16/25,"Capital One","Spark Cash","Rest Splash",-139.6,Business,"Advertising",N,
10/16/25,"Capital One","Venture","Amazon",-34.45,Business,"Materials & Supplies",N,
10/16/25,"Wells Fargo Bank","Initiate Business Checking��","Barclaycard Us Susan",-500.8,Business,"Credit card payment",N,
10/16/25,"Wells Fargo Bank","Wells Fargo Way2Save�� Savings","Interest",0.09,Personal,"Interest Income",N,
10/15/25,"Barclays Credit Card (USA)","My HawaiianMiles","Received",500.8,Business,"Credit card payment",N,
10/15/25,"Capital One","Spark Cash","Shell",-18.12,Business,"Gas and fuel",N,
10/15/25,"Capital One","Spark Cash","Super",-7.87,Business,"Gas and fuel",N,
10/15/25,"Capital One","Spark Cash","Openai Chatgpt Subscr",-20,Business,"Memberships/subscriptions",N,
10/15/25,"Capital One","Spark Cash","Super",-97.58,Business,"Travel expenses",N,
10/15/25,"Capital One","Spark Cash","Raul Sandoval",-68.03,Business,"Travel expenses",N,
10/15/25,"Capital One","Spark Cash","Super",-52.32,Business,"Gas and fuel",N,
10/15/25,"Capital One","Spark Cash","Cash Auto Redemption",25,Business,"Credit card payment",N,
10/14/25,"Wells Fargo Bank","Initiate Business Checking��","Zelle Nath Rigel",-160,Business,"Contract labor",N,
10/14/25,"Wells Fargo Bank","checking","Shell",-27.62,Business,"Gas and fuel",N,
10/14/25,"Capital One","Spark Cash","Kopper Keg",-38.93,Business,"Advertising",N,
10/14/25,"Capital One","Spark Cash","Twin Peaks",-54.58,Business,"Advertising",N,
10/14/25,"Capital One","Spark Cash","Gold Mine",-42,Business,"Advertising",N,
10/14/25,"Capital One","Spark Cash","Juans Flaming Fajitas",-54.06,Business,"Meals",N,
10/14/25,"Capital One","Spark Cash","WATER STREET",-40.04,Business,"Meals",N,
10/13/25,"Capital One","Spark Cash","T-Mobile",-107.22,Business,"Utilities",N,"Concert - Promotional "
10/13/25,"Capital One","Spark Cash","Grn Valley Drop",-100.32,Business,"Advertising",N,
10/13/25,"Capital One","Spark Cash","Park Mgm Lapizza",-129.38,Business,"Advertising",N,
10/13/25,"Capital One","Spark Cash","ELLIS ISLAND",-55.77,Business,"Advertising",N,
10/13/25,"Capital One","Spark Cash","T-Mobile",-24.07,Business,"Utilities",N,
